Optimal Found Or Timeout,Instances,Models,Calls,Time,CPU Time,,Choices,Conflicts,Restarts,Model-Level,Problems,Lemmas,Binary,Ternary,Conflict,Loop,Other,Backjumps,Executed,Bounded,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Optimization,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN,TA13,[' 1233+'],[' 1234'],"[' 12599.955s (Solving', ' 12597.00s 1st Model', ' 11657.39s Unsat', ' 0.00s)']",[' 12590.750s'], ,[' 1921772913'],"[' 30879079 (Analyzed', ' 30879079)']","[' 56438    (Average', ' 547.13 Last', ' 244273)']",[' 2588.2  '],"[' 1234     (Average Length', ' 1.00 Splits', ' 0)']","[' 147623476 (Deleted', ' 147061572)']","[' 1515     (Ratio', '   0.00%)']","[' 28318    (Ratio', '   0.02%)']","[' 30879079 (Average Length', '   21.6 Ratio', '  20.92%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 116744397 (Average Length', '   11.4 Ratio', '  79.08%) ']","[' 30879079 (Average', '  2.93 Max', ' 2630 Sum', ' 90597916)']","[' 30879079 (Average', '  2.93 Max', ' 2630 Sum', ' 90597916 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 18514   '],[' 3150    '],[' 18214   '],[' 15411   '],"[' 40529    (Atom=Atom', ' 9709 Body=Body', ' 9710 Other', ' 21110)']",[' Yes'],"[' 4383     (Eliminated', '    0 Frozen', ' 3150)']","[' 7        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1372'],[' 0.571815'],[' 0'], ,[' 4924.65'],[' 0'],[' 185.363'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.44816e+10'],[' 1.25239e+10'],[' 0'],[' 3.72664e+11'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN,TA14,[' 1254+'],[' 1255'],"[' 12599.942s (Solving', ' 12597.03s 1st Model', ' 11538.02s Unsat', ' 0.00s)']",[' 12591.797s'], ,[' 2108132167'],"[' 29327295 (Analyzed', ' 29327295)']","[' 51634    (Average', ' 567.98 Last', ' 128776)']",[' 2593.0  '],"[' 1255     (Average Length', ' 1.00 Splits', ' 0)']","[' 149908843 (Deleted', ' 149458418)']","[' 1495     (Ratio', '   0.00%)']","[' 26390    (Ratio', '   0.02%)']","[' 29327295 (Average Length', '   22.2 Ratio', '  19.56%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 120581548 (Average Length', '   12.7 Ratio', '  80.44%) ']","[' 29327295 (Average', '  3.19 Max', ' 2772 Sum', ' 93496968)']","[' 29327295 (Average', '  3.19 Max', ' 2772 Sum', ' 93496968 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 18535   '],[' 3150    '],[' 18235   '],[' 15411   '],"[' 40529    (Atom=Atom', ' 9709 Body=Body', ' 9710 Other', ' 21110)']",[' Yes'],"[' 4404     (Eliminated', '    0 Frozen', ' 3150)']","[' 5        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1363'],[' 0.656628'],[' 0'], ,[' 5401.67'],[' 0'],[' 206.77'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.53458e+10'],[' 1.33521e+10'],[' 0'],[' 3.88513e+11'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN,TA15,[' 1151+'],[' 1152'],"[' 12599.972s (Solving', ' 12597.30s 1st Model', ' 11071.56s Unsat', ' 0.00s)']",[' 12593.078s'], ,[' 2377043771'],"[' 29862479 (Analyzed', ' 29862479)']","[' 53479    (Average', ' 558.40 Last', ' 107535)']",[' 2550.1  '],"[' 1152     (Average Length', ' 1.00 Splits', ' 0)']","[' 152087933 (Deleted', ' 151712802)']","[' 1411     (Ratio', '   0.00%)']","[' 24981    (Ratio', '   0.02%)']","[' 29862479 (Average Length', '   23.8 Ratio', '  19.64%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 122225454 (Average Length', '   12.6 Ratio', '  80.36%) ']","[' 29862479 (Average', '  3.32 Max', ' 2646 Sum', ' 99208424)']","[' 29862479 (Average', '  3.32 Max', ' 2646 Sum', ' 99208424 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 18432   '],[' 3150    '],[' 18132   '],[' 15411   '],"[' 40529    (Atom=Atom', ' 9709 Body=Body', ' 9710 Other', ' 21110)']",[' Yes'],"[' 4301     (Eliminated', '    0 Frozen', ' 3150)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1401'],[' 0.55209'],[' 0'], ,[' 5473.51'],[' 0'],[' 219.517'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.80592e+10'],[' 1.58206e+10'],[' 0'],[' 3.78507e+11'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN,TA16,[' 1253+'],[' 1254'],"[' 12599.960s (Solving', ' 12597.29s 1st Model', ' 6479.22s Unsat', ' 0.00s)']",[' 12595.719s'], ,[' 2001480631'],"[' 33086564 (Analyzed', ' 33086564)']","[' 55504    (Average', ' 596.11 Last', ' 77937)']",[' 2605.1  '],"[' 1254     (Average Length', ' 1.00 Splits', ' 0)']","[' 154655259 (Deleted', ' 154181641)']","[' 1457     (Ratio', '   0.00%)']","[' 27103    (Ratio', '   0.02%)']","[' 33086564 (Average Length', '   23.7 Ratio', '  21.39%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 121568695 (Average Length', '   11.7 Ratio', '  78.61%) ']","[' 33086564 (Average', '  3.03 Max', ' 2516 Sum', ' 100137375)']","[' 33086564 (Average', '  3.03 Max', ' 2516 Sum', ' 100137375 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 18534   '],[' 3150    '],[' 18234   '],[' 15411   '],"[' 40529    (Atom=Atom', ' 9709 Body=Body', ' 9710 Other', ' 21110)']",[' Yes'],"[' 4403     (Eliminated', '    0 Frozen', ' 3150)']","[' 3        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1403'],[' 0.58632'],[' 0'], ,[' 5226.98'],[' 0'],[' 192.629'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.54044e+10'],[' 1.33012e+10'],[' 0'],[' 3.91771e+11'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN,TA17,[' 1009+'],[' 1010'],"[' 12599.962s (Solving', ' 12598.04s 1st Model', ' 11991.61s Unsat', ' 0.00s)']",[' 12597.000s'], ,[' 2515188347'],"[' 33483870 (Analyzed', ' 33483870)']","[' 59323    (Average', ' 564.43 Last', ' 44900)']",[' 2575.4  '],"[' 1010     (Average Length', ' 1.00 Splits', ' 0)']","[' 167835628 (Deleted', ' 167380147)']","[' 1288     (Ratio', '   0.00%)']","[' 21950    (Ratio', '   0.01%)']","[' 33483870 (Average Length', '   23.3 Ratio', '  19.95%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 134351758 (Average Length', '   12.9 Ratio', '  80.05%) ']","[' 33483870 (Average', '  3.24 Max', ' 2503 Sum', ' 108563699)']","[' 33483870 (Average', '  3.24 Max', ' 2503 Sum', ' 108563699 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 18290   '],[' 3150    '],[' 17990   '],[' 15411   '],"[' 40529    (Atom=Atom', ' 9709 Body=Body', ' 9710 Other', ' 21110)']",[' Yes'],"[' 4159     (Eliminated', '    0 Frozen', ' 3150)']","[' 4        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1509'],[' 0.473959'],[' 0'], ,[' 5638.04'],[' 0'],[' 228.717'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.9139e+10'],[' 1.67456e+10'],[' 0'],[' 3.93964e+11'],[' 0'],[' 0']
