Optimal Found Or Timeout,Instances,Models,Calls,Time         ,CPU Time,,Choices ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules,  Choice,Atoms,Bodies,Equivalences ,Tight,Variables    ,Constraints  ,,DifferenceLogic,  Optimization,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNSATISFIABLE,orb03,[' 162'],[' 163'],"[' 221.960s (Solving', ' 221.83s 1st Model', ' 19.95s Unsat', ' 201.86s)']",[' 221.703s'], ,[' 17877190'],"[' 2557956  (Analyzed', ' 2557955)']","[' 5298     (Average', ' 482.82 Last', ' 9928)']",[' 363.1   '],"[' 163      (Average Length', ' 1.00 Splits', ' 0)']","[' 6010636  (Deleted', ' 5875079)']","[' 217      (Ratio', '   0.00%)']","[' 2660     (Ratio', '   0.04%)']","[' 2557955  (Average Length', '   15.1 Ratio', '  42.56%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3452681  (Average Length', '    9.0 Ratio', '  57.44%) ']","[' 2557955  (Average', '  1.58 Max', ' 254 Sum', ' 4030870)']","[' 2557947  (Average', '  1.58 Max', ' 254 Sum', ' 4030862 Ratio', ' 100.00%)']","[' 8        (Average', '  1.00 Max', '   1 Sum', '      8 Ratio', '   0.00%)']", ,[' 3433    '],[' 550     '],[' 3333    '],[' 2631    '],"[' 6989     (Atom=Atom', ' 1729 Body=Body', ' 1730 Other', ' 3530)']",[' Yes'],"[' 712      (Eliminated', '    0 Frozen', '  550)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1005'],[' 0.0280489'],[' 0'], ,[' 65.7291'],[' 0'],[' 1.99706'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.82692e+07'],[' 6.88141e+07'],[' 0'],[' 3.3308e+09'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNSATISFIABLE,orb04,[' 213'],[' 214'],"[' 5.156s (Solving', ' 5.03s 1st Model', ' 3.65s Unsat', ' 1.35s)']",[' 5.156s'], ,[' 1113316 '],"[' 85794    (Analyzed', ' 85793)']","[' 373      (Average', ' 230.01 Last', ' 557)']",[' 415.0   '],"[' 214      (Average Length', ' 1.00 Splits', ' 0)']","[' 231902   (Deleted', ' 214970)']","[' 145      (Ratio', '   0.06%)']","[' 1474     (Ratio', '   0.64%)']","[' 85793    (Average Length', '   13.1 Ratio', '  37.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 146109   (Average Length', '    8.9 Ratio', '  63.00%) ']","[' 85793    (Average', '  1.73 Max', ' 156 Sum', ' 148276)']","[' 85784    (Average', '  1.73 Max', ' 156 Sum', ' 148267 Ratio', '  99.99%)']","[' 9        (Average', '  1.00 Max', '   1 Sum', '      9 Ratio', '   0.01%)']", ,[' 3484    '],[' 550     '],[' 3384    '],[' 2631    '],"[' 6989     (Atom=Atom', ' 1729 Body=Body', ' 1730 Other', ' 3530)']",[' Yes'],"[' 763      (Eliminated', '    0 Frozen', '  550)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1005'],[' 0.032333'],[' 0'], ,[' 2.26054'],[' 0'],[' 0.0860737'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.82633e+06'],[' 2.58513e+06'],[' 0'],[' 1.4335e+08'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNSATISFIABLE,orb05,[' 201'],[' 202'],"[' 2.038s (Solving', ' 1.90s 1st Model', ' 1.11s Unsat', ' 0.78s)']",[' 2.047s'], ,[' 633419  '],"[' 36749    (Analyzed', ' 36748)']","[' 188      (Average', ' 195.47 Last', ' 582)']",[' 412.9   '],"[' 202      (Average Length', ' 1.00 Splits', ' 0)']","[' 98446    (Deleted', ' 85293)']","[' 79       (Ratio', '   0.08%)']","[' 736      (Ratio', '   0.75%)']","[' 36748    (Average Length', '   11.0 Ratio', '  37.33%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 61698    (Average Length', '    7.8 Ratio', '  62.67%) ']","[' 36748    (Average', '  1.76 Max', ' 186 Sum', '  64812)']","[' 36742    (Average', '  1.76 Max', ' 186 Sum', '  64806 Ratio', '  99.99%)']","[' 6        (Average', '  1.00 Max', '   1 Sum', '      6 Ratio', '   0.01%)']", ,[' 3472    '],[' 550     '],[' 3372    '],[' 2631    '],"[' 6989     (Atom=Atom', ' 1729 Body=Body', ' 1730 Other', ' 3530)']",[' Yes'],"[' 751      (Eliminated', '    0 Frozen', '  550)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 887'],[' 0.0308032'],[' 0'], ,[' 0.850001'],[' 0'],[' 0.0394109'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.54445e+06'],[' 1.01546e+06'],[' 0'],[' 5.59831e+07'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNSATISFIABLE,orb06,[' 165'],[' 166'],"[' 147.126s (Solving', ' 147.04s 1st Model', ' 5.06s Unsat', ' 141.97s)']",[' 146.922s'], ,[' 13903145'],"[' 2111322  (Analyzed', ' 2111321)']","[' 4456     (Average', ' 473.82 Last', ' 90144)']",[' 413.5   '],"[' 166      (Average Length', ' 1.00 Splits', ' 0)']","[' 4782330  (Deleted', ' 4676357)']","[' 162      (Ratio', '   0.00%)']","[' 1850     (Ratio', '   0.04%)']","[' 2111321  (Average Length', '   15.3 Ratio', '  44.15%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2671009  (Average Length', '    9.8 Ratio', '  55.85%) ']","[' 2111321  (Average', '  1.57 Max', ' 214 Sum', ' 3322310)']","[' 2111311  (Average', '  1.57 Max', ' 214 Sum', ' 3322300 Ratio', ' 100.00%)']","[' 10       (Average', '  1.00 Max', '   1 Sum', '     10 Ratio', '   0.00%)']", ,[' 3436    '],[' 550     '],[' 3336    '],[' 2631    '],"[' 6989     (Atom=Atom', ' 1729 Body=Body', ' 1730 Other', ' 3530)']",[' Yes'],"[' 715      (Eliminated', '    0 Frozen', '  550)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1010'],[' 0.0265705'],[' 0'], ,[' 48.9888'],[' 0'],[' 1.57597'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.54104e+07'],[' 4.13652e+07'],[' 0'],[' 2.66006e+09'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNSATISFIABLE,orb07,[' 169'],[' 170'],"[' 1.464s (Solving', ' 1.32s 1st Model', ' 0.71s Unsat', ' 0.60s)']",[' 1.469s'], ,[' 375896  '],"[' 24333    (Analyzed', ' 24332)']","[' 127      (Average', ' 191.59 Last', ' 290)']",[' 418.0   '],"[' 170      (Average Length', ' 1.00 Splits', ' 0)']","[' 58608    (Deleted', ' 49903)']","[' 93       (Ratio', '   0.16%)']","[' 676      (Ratio', '   1.15%)']","[' 24332    (Average Length', '   11.3 Ratio', '  41.52%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 34276    (Average Length', '    7.6 Ratio', '  58.48%) ']","[' 24332    (Average', '  1.75 Max', ' 180 Sum', '  42476)']","[' 24327    (Average', '  1.75 Max', ' 180 Sum', '  42471 Ratio', '  99.99%)']","[' 5        (Average', '  1.00 Max', '   1 Sum', '      5 Ratio', '   0.01%)']", ,[' 3440    '],[' 550     '],[' 3340    '],[' 2631    '],"[' 6989     (Atom=Atom', ' 1729 Body=Body', ' 1730 Other', ' 3530)']",[' Yes'],"[' 719      (Eliminated', '    0 Frozen', '  550)']","[' 2        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 397'],[' 0.0322168'],[' 0'], ,[' 0.565517'],[' 0'],[' 0.0252183'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 951082'],[' 626182'],[' 0'],[' 3.03528e+07'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNSATISFIABLE,orb08,[' 152'],[' 153'],"[' 5.713s (Solving', ' 5.58s 1st Model', ' 4.26s Unsat', ' 1.30s)']",[' 5.750s'], ,[' 1361822 '],"[' 85330    (Analyzed', ' 85329)']","[' 355      (Average', ' 240.36 Last', ' 399)']",[' 370.6   '],"[' 153      (Average Length', ' 1.00 Splits', ' 0)']","[' 269023   (Deleted', ' 251961)']","[' 140      (Ratio', '   0.05%)']","[' 1231     (Ratio', '   0.46%)']","[' 85329    (Average Length', '   11.4 Ratio', '  31.72%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 183694   (Average Length', '    8.9 Ratio', '  68.28%) ']","[' 85329    (Average', '  1.79 Max', ' 278 Sum', ' 152398)']","[' 85316    (Average', '  1.79 Max', ' 278 Sum', ' 152385 Ratio', '  99.99%)']","[' 13       (Average', '  1.00 Max', '   1 Sum', '     13 Ratio', '   0.01%)']", ,[' 3423    '],[' 550     '],[' 3323    '],[' 2631    '],"[' 6989     (Atom=Atom', ' 1729 Body=Body', ' 1730 Other', ' 3530)']",[' Yes'],"[' 702      (Eliminated', '    0 Frozen', '  550)']","[' 8        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 899'],[' 0.0290103'],[' 0'], ,[' 2.58773'],[' 0'],[' 0.106779'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.84689e+06'],[' 2.62234e+06'],[' 0'],[' 1.43716e+08'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
